brazo,condicion,realizacion,semilla_base,semilla,puntuacion
V_PAPER,b,ruido_b,20260831,200022,1.0
V_PAPER,b,ruido_b,20260831,200023,1.0
V_PAPER,b,ruido_b,20260831,200024,0.99897135897114
V_PAPER,b,ruido_b,20260831,200025,1.0
V_PAPER,b,ruido_b,20260831,200026,0.499820496873236
V_PAPER,b,ruido_b,20260831,200027,0.990132051808433
V_PAPER,b,ruido_b,20260831,200028,1.0
V_PAPER,b,ruido_b,20260831,200029,0.993653213335302
V_PAPER,b,ruido_b,20260831,200030,0.667043687913951
V_PAPER,b,ruido_b,20260831,200031,0.273262399009646
V_PAPER,b,ruido_b,20260831,200032,0.96314975992345
V_PAPER,b,ruido_b,20260831,200033,1.0
V_PAPER,b,ruido_b,20260831,200034,1.0
V_PAPER,b,ruido_b,20260831,200035,0.998370949379359
V_PAPER,b,ruido_b,20260831,200036,0.987597035059749
V_PAPER,b,ruido_b,20260831,200037,0.867089501392418
V_PAPER,b,ruido_b,20260831,200038,0.610744342660966
V_PAPER,b,ruido_b,20260831,200039,0.961626577197863
V_PAPER,b,ruido_b,20260831,200040,0.623066252691682
V_PAPER,b,ruido_b,20260831,200041,1.0
V_PAPER,b,ruido_b,20260831,200042,0.136258644525992
V_PAPER,b,ruido_b,20260831,200043,1.0
V_PAPER,b,ruido_b,20260831,200044,1.0
V_PAPER,b,ruido_b,20260831,200045,1.0
V_PAPER,b,ruido_b,20260831,200046,0.756916068522096
V_PAPER,b,ruido_b,20260831,200047,0.713043049519645
V_PAPER,b,ruido_b,20260831,200048,1.0
V_PAPER,b,ruido_b,20260831,200049,0.00392250381114464
